Cluster,Subcluster,Keywords
Cluster 1 - Business Finance,SubCluster  1 - Financial,"['bank', 'financial_institutions', 'commercial_bank', 'electronic_banking', 'banking_system', 'mobile_banking_application', 'central_bank_digital_currency_cbdc', 'financial_strategies', 'financial_market', 'bank_operational_risks', 'banking_law', 'financial_law', 'financial_audit', 'financial_crisis', 'financial_information', 'financial_resources', 'cross_border_financial_services', 'financial_systems', 'financial_loss', 'financial_fraud', 'e_banking', 'financial_sector', 'financial_security', 'financial_implications_of_cybersecurity_risk', 'financial_service', 'banking_institutions', 'chief_financial_officer', 'financial_crime', 'financial_industry', 'global_financial_center', 'bank_fraud', 'corporate_finance', 'financial_corporation', 'credit_risk', 'financial_regulation', 'financial_transactions', 'stock_market', 'money_and_financial_stability', 'financial_technology', 'online_banking', 'money_laundering', 'financial_services_market', 'jordanian_commercial_banks', 'financial_policies', 'global_financial_centre', 'finance', 'financial_markets', 'banking_activities', 'banking', 'financial_transmission_right_ftr', 'credit_fraud', 'banking_industry', 'financial_system', 'banking_stability', 'financial_technologies', 'banks', 'digital_banking', 'financial_services', 'credit_card_fraud', 'banking_sector', 'stock_exchange', 'bank_frauds', 'personally_identifiable_financial_information_pifi', 'bank_robbery', 'internet_banking', 'credit_card_fraud_detection', 'listed_banks', 'financial_damage', 'open_banking', 'financial_stability', 'accounts', 'banking_costumer', 'mobile_financial_services', 'digital_model_of_financial_corporation', 'mobile_banking', 'digital_finance', 'remote_banking_services', 'indian_financial_market', 'digital_financial_services', 'securities_and_exchange_commission_sec', 'internal_controls_over_financial_reporting', 'financial_intelligence', 'financial_impact', 'mobile_financial_service', 'banking_products']"
Cluster 1 - Business Finance,SubCluster  2 - Business/Companies ,"['small_businesses', 'social_loafing', 'social_sorting', 'small_greek_companies', 'insider', 'mercenary_firm', 'fake_accounts', 'auto_industry', 'alcohol_use_disorders', 'aggregator', 'tobacco_industry', 'social_identity_theory', 'ownership_services', 'news_media', 'social_marketing_mix', 'social_structure', 'internal_social_marketing', 'insiders', 'social_factors', 'small_and_medium_sized_enterprises', 'norm_entrepreneurs', 'gangs', 'french_firms', 'social_identity', 'industry_report', 'railway_industry', 'carbon_footprint', 'industry_4.0', 'social_influence', 'cia_model', 'black_box_models', 'social_capital', 'organizational_ambidexterity', 'organizational_insider', 'small_business', 'serious_gaming', 'economic_statecraft', 'social_cost', 'social_issues', 'social_impact', 'nonprofit_organizations', 'alcohol_use', 'sociology_of_law', 'popular_culture', 'social_contract', 'social_media_marketing_capability', 'social_aspects', 'social_preferences', 'small_and_medium_sized_businesses', 'actor_model', 'aec_industry', 'small_companies', 'industry_40', 'user_accounts', 'medium_sized_enterprises', 'small_to_medium_sized_businesses_smbs', 'mass_media', 'problematic_alcohol_use', 'working_pensioners', 'personal_data', 'information_media']"
Cluster 1 - Business Finance,SubCluster  3 - Transactions ,"['electronic_commerce', 'cost_function', 'digital_transactions', 'virtual_or_digital_currency', 'mobile_transactions', 'digital_financial_inclusion', 'online_transactions', 'payment_systems', 'digital_payments', 'digital_payment', 'mobile_payment', 'minerals_sector', 'alipay_wallet', 'distributed_ledger', 'data_warehouse', 'technical_debt', 'credit_card', 'atmsg', 'ransom_notes', 'atm', 'bitcoin_analysis', 'payment_processing', 'indices', 'electronic_portfolio', 'decentralized_payment_system', 'initial_coin_offering_ico', 'card_games', 'index', 'electronic_voting_platform', 'digital_money', 'credit_cards', 'card_game', 'thai_economy', 'digital_payment_ecosystem', 'monetary_penalties', 'carding_shops', '“digital”_investments', 'digital_wallet', 'mass_distributed_storage', 'double_spend', 'cash_holdings', 'payment_card_industry_data_security_standard_pci_dss', 'exponentially_weighted_moving_average', 'initial_coin_offering', 'credit_metering', 'individual_number_card', 'cold_wallet', 'e_payment_system', 'indexes', 'distributed_ledgers', 'bitcoins', 'lévy_distribution', 'hot_wallet', 'it_spending', 'coin_miner', 'digital_currency', 'digital_fiat_currency', 'bitcoin', 'payment_services', 'online_spending', 'air_traffic_management_atm', 'digital_currencies', 'credit/debit_card', 'social_credit_system']"
Cluster 1 - Business Finance,SubCluster  4,"['fashion_supply_chain', 'supply_chain_risk_management', 'e_procurement', 'supply_chain_4.0_risks', 'supply_chain_disruptions', 'global_supply_chain', 'supply_chain_management', 'supply_chain_disruption', 'supply_chain_service', 'food_supply_chains', 'food_processing', 'agriculture_4.0', 'supply_chain_risks', 'food_supply_chain', 'information_foraging', 'e_public_procurement', 'supply_chains', 'supply_chain_4.0_risks_framework', 'supply_risk', 'food_industry', 'supply_chain_risk']"
Cluster 1 - Business Finance,SubCluster  5,"['economic_metrics', 'cold_energy_economy', 'economic_considerations', 'new_institutional_economics', 'european_data_economy', 'economic_impacts', 'digital_economy', 'economic_commission_for_africa', 'political_economy', 'data_economy', 'macroeconomics', 'silver_economy', 'economic_incentives', 'job_market_analysis', 'physical_economics', 'economic_dispatch', 'knowledge_economy', 'economic_capital', 'economic_impact', 'european_economy', 'entrepreneurial_finance', 'agricultural_enterprises', 'economic_risks_and', 'political_and_economic_challenges', 'economy', 'underground_economy', 'economic_framework', 'risks_of_digital_economy', 'economic_models', 'cognitive_capitalism', 'platform_economy', 'labour_market', 'platform_economics', 'behavioral_economics', 'economic_and_monetary_union', 'emerging_economies', 'economic_waves', 'economic_growth', 'microeconomics', 'economics', '37n40_dynamical_systems_in_optimization_and_economics', 'labor_market', 'security_economics', 'information_economics', 'infosec_economy', 'bric_economies', 'economics_of_audit', 'emerging_economy', 'circular_economy', 'economic_consequences', 'economic_systems', 'economics_of_a_csoc', 'geoeconomics', 'brics_economies', 'network_economics', 'environmental_economics', 'earnings_management', 'capitalism', 'agent_based_computational_economics', 'social_economic', 'economic_model_predictive_control', 'economic_perspectives', 'stakeholder_capitalism', 'capital_market', 'economics_in_information_security', 'quaternary_economy']"
Cluster 1 - Business Finance,SubCluster  6,"['digital_trade', 'point_of_sale_pos', 'trade_barriers', 'trade_in_services', 'market_mechanisms', 'time_consumption', 'profit_optimization', 'world_markets', 'p2p_transaction', 'digital_economy_and_trade', 'trading_platform', 'economic_profit', 'm_commerce', 'global_competitiveness', 'market_activity', 'cost_constraint', 'pricing_communication', 'day_ahead_da_market', 'raw_traffic', 'market_participation', 'price_forecasting', 'government_subsidies', 'cost_model', 'commercial_platform', 'point_of_sale', 'real_time_pricing', 'market_analysis', 'supranormal_profits', 'nash_bargaining', 'post_market', 'on_demand_analysts', 'concept_inventory', 'electronic_trading', 'underground_market', 'sugar_industry', 'government_procurement', 'unsolicited_commercial_e_mail', 'international_trade', 'purchase_intention', 'cost_analysis', 'procurement_language', 'international_trade_law', 'abnormal_stock_movement', 'dynamic_pricing', 'trade_restrictions', 'spotlight_on_transactions', 'product_liability', 'monopoly', 'analysis_contracts', 'market_share', 'multi_cloud_market', 'data_selling', 'locational_marginal_prices_lmps', 'non_tariff_barriers_to_digital_trade', 'federal_trade_commission', 'underground_marketplaces', 'data_sale', 'korea_stock_market', 'market_reaction', 'world_trade_organization', 'two_settlement_market', 'e_commerce_transactions', 'chinese_underground_market', 'black_market', 'vendor_risk', 'value_trade_offs', 'cost–benefit_tradeoffs', 'real_time_rt_market', 'economic_benefit_tradeoffs', 'data_trade', 'power_trading', 'free_market', '7p_marketing_mix', 'burg', 'price_prediction', 'data_markets', 'misleading_commercial_practices', 'marketing_expense', 'profit_sharing', 'market_research', 'product_data', 'trade_wars', 'trading_volume', 'digital_trade_system', 'opportunistic_trading', 'cost_based_analysis', 'digital_single_market', 'regulation_of_digital_services_markets', 'insider_trading', 'market_skill_shortage', 'stock_market_reaction', 'locational_marginal_price_lmp', 'market_valuations', 'international_and_domestic_sales_performance', 'products_liability']"
Cluster 1 - Business Finance,SubCluster  7,"['tax_administration', 'statutory_auditors_firms', 'organizational_factors_of_accounting', 'tax_fraud', 'budget_constraints', 'revenue', 'electronic_tax_filing', 'tax_policy', 'budget', 'cloud_accounting', 'public_debt', 'tax', 'tax_returns', 'accounting', 'it_budget', 'accounting_profession', 'irs', 'accounting_automation', 'internal_auditors', 'triple_entry_accounting', 'tax_compliance', 'accounting_information_systems', 'revenue_model', 'income_loss', 'accounting_education', 'budget_and_cost', 'baggage_handling_systems', 'improved_fiscal_device', 'accounting_and_finance', 'national_income', 'accounting_and_it', 'accounting_outsourcing', 'fiscal_device', 'budget_allocation', 'integrated_delegation_of_accounting_and_security_powers', 'tax_crime', 'accounting_curriculum', 'financial_and_management_accounting']"
Cluster 1 - Business Finance,SubCluster  8,"['business_email_compromise', 'corporate_management', 'industry_4.0_business_protocols', 'business_studies', 'platform_business_model', 'fintech_business_models', 'corporate_system', 'business_and_it_relationships', 'hospitality_industry', 'mission/business_objectives', 'corporate_social_responsibility', 'international_business', 'business_process_optimization', 'corporate_crime', 'business_models', 'sustainable_business_ecosystem', 'business', 'policy_entrepreneur', 'digital_transformation_of_business', 'business_email_compromise_bec', 'business_performance', 'business_processes', 'public_companies', 'business_government_information_sharing', 'corporate_strategy', 'business_impact_assessment', 'business_impact_analysis', 'business_process_intelligence', 'academic–business_partnerships', 'business_licensing_services', 'business_interruption', 'business_analytics', 'business_model', 'corporate', 'business_information_system', 'business_resilience', 'corporate_futures', 'corporate_communication', 'entrepreneur', 'business_organizations', 'corporations', 'business_associate', 'online_business', 'business_ethics', 'corporate_governance', 'business_demonstrator', 'bcm_business_continuity_management', 'business_process_contour', 'business_intelligence', 'business_process', 'corporate_reputation', 'data_driven_business', 'scaling_company_value', 'thematic_companies', 'business_management', 'companies', 'business_process_loop', 'business_process_outsourcing_bpo', 'e_business', 'business_impact', 'corporate_apology', 'business_information']"
Cluster 1 - Business Finance,SubCluster  9,"['consumer_centric', 'consumer_attitudes', 'online_shopping', 'customer_data', 'retail', 'top_sellers', 'consumer_data', 'consumer_protection', 'customers', 'reseller', 'businesses', 'public_goods', 'consumer_technology_marketing', 'self_consumption', 'inventory', 'e_commerce', 'markets', 'consumer_rights', 'consumer_security_index', 'direct_to_consumer_advertising', 'vendor', 'direct_marketing', 'online_shopping_intention', 'internal_marketing', 'online_retailing', 'consumer_experience', 'e_customer', 'online_advertising', 'marketing', 'social_marketing', 'consumer', 'consumers', 'marketplace', 'marketplaces', 'market', 'brand\', ""customer\'s_perception"", \'consumers’_awareness', 'consumer_uav', 'e_shop', 'sales', 'digital_marketing', 'anti_consumerism', 'vendors']"
Cluster 1 - Business Finance,SubCluster  10,"['insurance_regime', 'cost_benefit_analysis', 'equity', 'asset_management', 'insurance', 'asset_portfolio', 'the_return_on_investment', 'investor_judgment', 'insurance_application', 'mutual_investment', 'asset_inventory', 'it_assets', 'investment_allocation', 'future_profitability', 'financing_sources', 'benefit_distribution_mechanism', 'esg_investing', 'investing', 'rail_asset', 'brand_equity', 'valuation', 'benefit_cost_analysis', 'asset_management_tools', 'optimal_funding_strategies', 'asset_risk_management', 'investment_strategy', 'national_insurance_commission', 'intelligence_investment', 'asset_classification', 'utility_balance', 'insurance_industry', 'assets', 'the_choice_of_financing_strategy', 'bondholder_wealth', 'return_on_investment', 'stock_returns', 'investment', 'investment_analysis', 'asset_valuation', 'financial_inclusion', 'information_assets', 'investment_restrictions', 'portfolio_management', 'security_investment_decision', 'committee_on_foreign_investment_in_the_united_states', 'it_investment_risk_management', 'portfolio_approach', 'optimal_investment_strategies', 'optimal_investment', 'insurance_claims_processing', 'stakeholder_value', 'investment_fraud', 'stock_volatility', 'distributed_assets', 'stock_value', 'insurance_contract', 'asset_analysis', 'financial_strategy_selection', 'nonprofessional_investors', 'investments', 'endowment_effect', 'stockpiling', 'venture_capital', 'insurance_sector', 'us_defense_budget', 'motor_insurers’_bureau', 'intangible_assets', 'impact_on_stock_value', 'asset']"
